271,応用物性論
272,素粒子物理学
273,相対性理論
274,電気回路
275,電気回路演習
276,電磁気学
277,電磁気学演習
278,ベクトル解析
279,微分方程式
280,電気電子工学入門
281,電気電子工学概論
282,電気電子工学基礎実験
283,複素関数論
284,電子回路
285,論理回路
286,フーリエ解析
287,固体物性
288,量子力学
289,統計物理学
290,確率統計
291,電気電子工学実験
292,数値解析論
293,計算機アーキテクチャ
294,アルゴリズムとデータ構造
295,幾何光学
296,電気電子数学演習
297,電気電子工学応用演習
298,電子回路演習
299,電気機器工学
300,パワーエレクトロニクス
301,電力システム工学 
302,回路設計 CAD
303,電気法規
304,半導体工学
305,信号処理
306,制御工学
307,通信工学
308,現代制御論
309,電磁波工学
310,計算機ソフトウェア
311,数理プログラミング演習
312,画像情報工学
313,波動光学
314,光通信工学
315,光エレクトロニクス
316,情報通信システム
317,計測工学
318,情報通信法規
319,画像処理工学
320,電子情報基礎数学
321,電子情報工学演習
322,集積デバイス工学
323,電子情報工学入門
324,コンピュータアーキテクチャ
325,ハードウェア設計言語
326,データ構造とアルゴリズム
327,応用 C プログラミング
328,ベクトル解析
329,通信理論
330,電子情報工学実験
331,微分方程式 / ラプラス変換
332,コンパイラ
333,制御工学
334,高周波工学
335,オペレーティングシステム
336,ソフトウェア工学
337,数理解析
338,情報理論
339,コンピュータネットワーク
340,複素関数論
341,確率統計
342,電子情報工学応用演習
343,メディア情報処理
344,電子回路設計
345,プロセッサデザイン
346,組み込みシステム
347,並列処理システム
348,機械工学概論
349,力学
350,力学演習
351,機械製図学
352,材料力学
353,応用数学
354,流体力学
355,制御工学
356,加工学
357,CAD 演習
358,機械工作実習
359,熱力学
360,電気電子回路
361,解析力学
362,機械製作法
363,機械システム演習
364,機械基礎実験
365,数値計算演習
366,機械システム実験
367,確率統計学
368,計測工学
369,材料工学
370,移動現象論
371,材料強度学
372,機械設計法
373,数値計算
374,機械力学
375,マイクロマシン
376,計算力学
377,生産工学
378,エネルギー変換工学
379,メカトロニクス
380,量子工学
381,ロボット創造入門
382,ロボティクス概論
383,機械製図学
384,ロボティクス実験
385,ロボット機構学
386,生体機能論
387,知能科学
388,流体力学
389,数学演習
390,加工学
391,ロボット創造実験
392,アクチュエータ工学
393,センサ工学
394,バイオメカニクス
395,福祉インターフェイス論
396,ロボットビジョン
397,ロボット運動制御
398,ロボット設計演習
399,計測工学
400,ロボット制御システム
401,都市システム工学概論
402,まちづくり演習入門
403,都市システム基礎数学
404,計画理論
405,構造力学
406,構造力学演習
407,材料学
408,コンクリート構造学
409,水理学
410,水理学演習
411,土質力学
412,土質力学演習
413,計画理論演習
414,都市計画
415,都市交通計画
416,環境都市工学実験
417,ランドスケープデザイン
418,まちづくり演習
419,数値解析
420,鋼構造学
421,河川工学
422,上下水道計画
423,社会基盤と文化
424,都市防災工学
425,サステナビリティ設計論
426,道路システム
427,公共輸送システム
428,交通計画演習
429,設計演習
430,建設・保全技術
431,測量学
432,測量学実習
433,都市デザイン
434,水処理工学
435,環境地盤工学
436,施設メンテナンス
437,環境システム工学概論
438,環境基礎科学
439,環境基礎数学
440,CG/CAD 演習
441,環境デザイン実習
442,環境統計学
443,構造力学
444,エコマテリアル
445,水環境学
446,環境質評価法
447,上下水道計画
448,データ処理演習
449,環境管理調査実習
450,都市交通計画
451,景観計画
452,流域環境管理
453,環境経済学入門
454,資源・廃棄物管理
455,都市・地域マネジメント 
456,環境水理学
457,空間情報工学
458,環境衛生学
459,大気環境管理
460,環境評価システム
461,測量学
462,環境経済評価論
463,環境・開発論
464,施設設計演習
465,環境システム専門演習
466,建設・保全技術
467,地球環境システム
468,建築環境工学
469,設計製図演習
470,建築環境工学概論
471,建築都市デザイン概論
472,建築史
473,建築計画
474,図学・製図演習
475,建築構造力学
476,建築都市デザイン演習
477,ヴィジュアライズ演習
478,建築構造デザイン
479,居住空間計画
480,ランドスケープデザイン
481,建築意匠
482,建築環境工学
483,建築構法
484,建築法規
485,建築材料学
486,建築生産
487,建築設備
488,建築環境演習
489,建築専門演習
490,都市デザイン
491,環境共生工学演習
492,建築基礎構造
493,建築生産システム演習
494,鋼構造設計
495,ＲＣ構造設計
496,測量学
